Para o Dataset 1 e respetivo input, numa amostra de 10 repetições foram registados os seguintes dados:
 Nº | SUCESSO |   MEDIA   | DESVIO PADRÃO |  MÍNIMO   |  MÁXIMO
L   |    1    | 7.9431672 |   0.1454269   | 7.7765160 | 8.2801828
1   |    1    | 0.0002219 |   0.0000465   | 0.0001680 | 0.0002890
2   |    1    | 0.0000833 |   0.0000203   | 0.0000550 | 0.0001200
3   |    1    | 0.0000719 |   0.0000204   | 0.0000490 | 0.0001160
4   |    1    | 0.0000642 |   0.0000176   | 0.0000470 | 0.0000940
5   |    1    | 0.0000564 |   0.0000146   | 0.0000460 | 0.0000920
6   |    1    | 0.0000620 |   0.0000159   | 0.0000430 | 0.0000840
7   |    1    | 0.0000665 |   0.0000177   | 0.0000490 | 0.0000950
8   |    1    | 0.0000585 |   0.0000135   | 0.0000470 | 0.0000850
9   |    1    | 0.0000640 |   0.0000144   | 0.0000500 | 0.0000950
10  |    1    | 0.0000534 |   0.0000089   | 0.0000430 | 0.0000670
11  |    1    | 0.0000203 |   0.0000108   | 0.0000130 | 0.0000480
12  |    1    | 0.0000592 |   0.0000130   | 0.0000470 | 0.0000900
13  |    1    | 0.0000565 |   0.0000077   | 0.0000480 | 0.0000720
14  |    1    | 0.0000600 |   0.0000126   | 0.0000480 | 0.0000850
15  |    1    | 0.0000533 |   0.0000068   | 0.0000450 | 0.0000630
16  |    1    | 0.0000501 |   0.0000058   | 0.0000440 | 0.0000640
17  |    1    | 0.0000593 |   0.0000155   | 0.0000440 | 0.0000900
18  |    1    | 0.0000554 |   0.0000104   | 0.0000460 | 0.0000810
19  |    1    | 0.0000549 |   0.0000110   | 0.0000450 | 0.0000770
20  |    1    | 0.0000546 |   0.0000114   | 0.0000440 | 0.0000800
21  |    1    | 0.0000779 |   0.0000128   | 0.0000670 | 0.0001080
22  |    1    | 0.0000833 |   0.0000079   | 0.0000740 | 0.0001000
23  |    1    | 0.0000678 |   0.0000138   | 0.0000480 | 0.0000950
24  |    1    | 0.0000751 |   0.0000225   | 0.0000610 | 0.0001350
25  |    1    | 0.1312097 |   0.0054024   | 0.1255160 | 0.1402910
26  |    1    | 0.1300217 |   0.0064489   | 0.1256220 | 0.1461510
27  |    1    | 0.1304862 |   0.0068625   | 0.1255530 | 0.1480560
28  |    1    | 0.1304605 |   0.0025497   | 0.1264190 | 0.1349590
29  |    1    | 0.1270958 |   0.0061839   | 0.1203020 | 0.1396160
30  |    1    | 0.1299015 |   0.0115767   | 0.1216560 | 0.1596250
31  |    1    | 0.1313683 |   0.0083291   | 0.1234680 | 0.1467530
32  |    1    | 0.1289265 |   0.0060665   | 0.1213790 | 0.1439410
33  |    1    | 0.1272474 |   0.0038614   | 0.1222000 | 0.1335550
34  |    1    | 0.1271273 |   0.0059814   | 0.1196750 | 0.1393610
35  |    1    | 0.0090178 |   0.0003659   | 0.0085310 | 0.0097010
36  |    1    | 0.0098827 |   0.0006668   | 0.0092510 | 0.0114760
37  |    1    | 0.0111479 |   0.0008878   | 0.0100930 | 0.0133410
38  |    1    | 0.0111563 |   0.0013345   | 0.0098220 | 0.0144430
39  |    1    | 0.0117122 |   0.0036141   | 0.0097800 | 0.0218410
40  |    1    | 0.1230842 |   0.0060713   | 0.1183480 | 0.1354140
41  |    1    | 0.1224177 |   0.0056264   | 0.1170230 | 0.1327820
42  |    1    | 0.1254012 |   0.0127522   | 0.1176140 | 0.1608920
43  |    1    | 0.1194463 |   0.0019809   | 0.1168140 | 0.1242860
44  |    1    | 0.1198182 |   0.0019663   | 0.1175530 | 0.1241700
45  |    1    | 0.1225763 |   0.0045934   | 0.1195440 | 0.1350390
46  |    1    | 0.0802897 |   0.0023094   | 0.0780720 | 0.0842220
47  |    1    | 0.0788705 |   0.0036475   | 0.0748310 | 0.0866590
48  |    1    | 0.0790430 |   0.0021322   | 0.0761210 | 0.0822100
49  |    1    | 0.0848099 |   0.0023879   | 0.0821160 | 0.0907700
50  |    1    | 0.0830710 |   0.0010112   | 0.0820240 | 0.0851570
